date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:33	4501/4501	---M-Z	200	added ('OK')	text/html	etag:W/%22605dc1d3-1195%22	https://cog-creators.github.io/discord-embed-sandbox/	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cog-creators.github.io/discord-embed-sandbox/index.html	(from )
15:19:33	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7baea5-239b%22	https://cog-creators.github.io/robots.txt		(from )
15:19:34	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:36	150996/150996	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:36	6559/6559	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffc-199f%22	https://cdnjs.cloudflare.com/ajax/libs/tether/1.4.0/css/tether-theme-arrows-dark.min.css	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdnjs.cloudflare.com/ajax/libs/tether/1.4.0/css/tether-theme-arrows-dark.min.css	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:37	601/601	---M-Z	200	added ('OK')	text/css	etag:%225eb03e7a-259%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.9.0/styles/dark.min.css	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.9.0/styles/dark.min.css	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:37	3813/3813	---M-Z	200	added ('OK')	text/css	etag:W/%22605dc1d3-ee5%22	https://cog-creators.github.io/discord-embed-sandbox/css/style.css	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cog-creators.github.io/discord-embed-sandbox/css/style.css	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:38	75596/75596	---M-Z	200	added ('OK')	application/javascript	etag:W/%221274c-XZbQFrgBmLTlJHW+9u5cOH4YcGY%22	https://cdn.jsdelivr.net/npm/showdown@1.9.0/dist/showdown.min.js	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdn.jsdelivr.net/npm/showdown@1.9.0/dist/showdown.min.js	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:39	86351/86351	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1514f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:41	24989/24989	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffc-619d%22	https://cdnjs.cloudflare.com/ajax/libs/tether/1.4.0/js/tether.min.js	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdnjs.cloudflare.com/ajax/libs/tether/1.4.0/js/tether.min.js	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:41	46653/46653	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/js/bootstrap.min.js	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/js/bootstrap.min.js	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:42	44793/44793	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e7a-aef9%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.9.0/highlight.min.js	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.9.0/highlight.min.js	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:42	11893/11893	---M-Z	200	added ('OK')	application/javascript	etag:W/%22605dc1d3-2e75%22	https://cog-creators.github.io/discord-embed-sandbox/js/index.js	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/cog-creators.github.io/discord-embed-sandbox/js/index.js	(from https://cog-creators.github.io/discord-embed-sandbox/)
15:19:44	52403/52403	---M--	200	added ('OK')	image/png	etag:%226c734d4f0a8fe02e275ecf004a05ff56%22	https://s3.amazonaws.com/patreon_public_assets/toolbox/patreon_white.png	C:/Users/Vitto/3D%20Objects/tic-tac-toe-master/clon/s3.amazonaws.com/patreon_public_assets/toolbox/patreon_white.png	(from https://cog-creators.github.io/discord-embed-sandbox/css/style.css)
